npcId;stamina;hunger;hour;socialClass;socialStatus;leisure;priority;trait_extraversion;trait_agreeableness;trait_conscientiousness;trait_emotional_stability;trait_openness_exp;acao_alvo
ad2fb843-b48c-443a-8fe1-b9ba0795eaed;1;0.06075008;0.13016666;0;0;0.040499866;0;0.8745844;0.7995373;0.31456918;0.42624462;0.3229459;0
9ff4a26c-6a55-48e7-91ed-121021029290;1;0.06075008;0.13016666;0;0;0.040499866;0;0.5656102;0.4359529;0.25829977;0.35413563;0.8189367;0
d1d6916d-f9a7-474b-9e59-d5ed9335c81c;1;0.06075008;0.13016666;0;0;0.040499866;0;0.72582406;0.34190226;0.743959;0.81314135;0.11945814;4
18fa96a2-c8c7-4c58-b299-456ea1ca288a;1;0.06075008;0.13016666;0;0;0.040499866;0;0.25604856;0.86824584;0.60016775;0.050480187;0.794773;0
fec85873-62e5-42b5-85a1-a67e8b435fd7;1;0.06075008;0.1301875;0;0;0.040499866;0;0.11033696;0.2796734;0.8053836;0.31840116;0.56603026;3
76050942-6cae-4576-865c-3ba5fc375ecf;1;0.06075008;0.1301875;0;0;0.040499866;0;0.02995044;0.032898724;0.6709724;0.70474726;0.9663294;0
5f4d6350-51e7-496f-bb41-050cf5584ddf;1;0.06075008;0.1301875;0;0;0.040499866;0;0.9975651;0.5635224;0.27088833;0.30298495;0.198012;0
25461991-2283-4e7b-8775-f91f787285f5;1;0.06075008;0.1301875;0;0;0.040499866;0;0.37153345;0.7774057;0.7768664;0.70660317;0.3047614;0
3eae14c9-21cb-4ecf-b638-ad5b5e496797;1;0.06075008;0.1301875;0;0;0.040499866;0;0.9097316;0.94285506;0.7214059;0.96109766;0.40711093;0
d9ca5798-5496-48ec-8c15-6335b7f357e8;1;0.06075008;0.1301875;0;0;0.040499866;0;0.3424458;0.9792281;0.64674795;0.25145167;0.10381806;0
3b304759-4900-411c-b2cc-23b585ae035b;1;0.06075008;0.13020833;0;0;0.040499866;0;0.478383;0.91622037;0.48002648;0.49298054;0.19104135;0
10115958-2aa5-4e94-b06c-79dfd330400d;0.9699986;0.06075008;0.13020833;0;0;0.040499866;0;0.59511447;0.37509263;0.16858959;0.27126408;0.5742145;0
9b585871-dfee-4495-87d0-5dc6e9111de4;0.98000145;0.06075008;0.13020833;0;0;0.040499866;0;0.05037129;0.8757434;0.65395916;0.7381469;0.92210263;0
2022b14a-7000-4a21-8031-58ed223e1434;1;0.06075008;0.13020833;0;0;0.040499866;0;0.3032754;0.15522724;0.46087843;0.42086613;0.9324494;0
7fcdf536-36c2-4447-a25e-73a9b4d4cd9b;1;0.06075008;0.13020833;0;0;0.040499866;0;0.96076214;0.28878897;0.25142044;0.04303509;0.9552349;0
5f364f43-dc4b-4242-9089-c6c4a86ef1f6;1;0.06075008;0.13020833;0;0;0.040499866;0;0.5733495;0.58585656;0.9249288;0.09829664;0.18488395;0
57246c9b-fa74-41e2-a9bd-49fefab48884;1;0.06075008;0.13020833;0;0;0.040499866;0;0.5996958;0.91893137;0.18485123;0.81884634;0.8016309;0
3633f2f9-e696-44db-964a-934490f8b203;1;0.06075008;0.13022916;0;0;0.040499866;0;0.2542796;0.096292675;0.6297966;0.3644184;0.54291;0
bef8a89d-4236-4819-8150-ce12fdc27486;1;0.06075008;0.13022916;0;0;0.040499866;0;0.39346862;0.42370284;0.6402125;0.4943077;0.35280114;0
b01ecb24-e9e4-43a2-9349-deb6a7a65ad0;1;0.06075008;0.13022916;0;0;0.040499866;0;0.26849377;0.15514803;0.7896458;0.45389354;0.37685192;0
dae284fd-f820-43a8-a792-193c6289fcb4;1;0.0149999885;0.13022916;0;0;0.010000001;0;0.06166154;0.273147;0.2250706;0.54492176;0.9204381;0
62a269b6-7228-4bf7-ad66-ec07c1e421a4;1;0.06075008;0.13022916;0;0;0.040499866;0;0.4634621;0.46488315;0.5418963;0.37400877;0.007896066;0
3d13b50c-9340-445a-8ddc-9c2209507c96;1;0.06075008;0.13022916;0;0;0.040499866;0;0.2169137;0.83491075;0.5920351;0.15407056;0.68735623;3
f37695c9-cc01-43d6-ab5b-f6fdb714c11c;1;0.06075008;0.13024999;0;0;0.040499866;0;0.5952701;0.31117076;0.90789956;0.45233417;0.67193896;0
ca611dbd-30ba-4926-b464-6538fe02f369;1;0.06075008;0.13024999;0;0;0.040499866;0;0.2127214;0.3196171;0.19834799;0.8624638;0.74206537;0
5b3c8e1b-6a2e-4547-aac8-b7b0d95e45ed;1;0.06075008;0.13024999;0;0;0.040499866;0;0.49102718;0.7601754;0.28152317;0.5507615;0.51012754;4
ff427b23-1944-489b-850d-0710844408cd;1;0.06075008;0.13024999;0;0;0.040499866;0;0.863825;0.5647783;0.542675;0.091318846;0.9327129;2
51610c17-8c6d-48c0-bdad-0818e3802ba1;1;0.06075008;0.13024999;0;0;0.040499866;0;0.6950416;0.18084317;0.3277142;0.950316;0.620641;0
bbb24734-3468-4824-ac12-197f4376ca02;1;0.06075008;0.13024999;0;0;0.040499866;0;0.9677926;0.08000845;0.7869591;0.671195;0.09966433;0
998124a6-eafb-40b9-88c7-936e1810100b;1;0.06075008;0.13024999;0;0;0.040499866;0;0.59714603;0.5389263;0.270324;0.7404963;0.9546714;0
ac3bb665-1368-408e-a585-ef720d12fc85;1;0.06075008;0.13027082;0;0;0.040499866;0;0.8112554;0.86837274;0.4821338;0.17641944;0.06296176;0
24c6e598-7029-4989-a33a-07d63975e756;1;0.06075008;0.13027082;0;0;0.040499866;0;0.07545233;0.4044844;0.3225022;0.18718392;0.24589354;0
f71647a0-c378-4563-8062-a1b46178bd7c;1;0.06075008;0.13027082;0;0;0.040499866;0;0.15955031;0.67806286;0.9747072;0.23281932;0.7742358;0
cf6f9b10-df61-47e0-8551-4871d84f86d7;1;0.06075008;0.13027082;0;0;0.040499866;0;0.1561318;0.8407284;0.58921266;0.7791212;0.461334;0
bba5ea3d-4141-43b7-beb1-c42b2bdbb8c7;1;0.06075008;0.13027082;0;0;0.040499866;0;0.6038108;0.01963085;0.19462335;0.6546984;0.52006775;0
4675eba8-cc12-4d28-bfc3-ff9ff2a20121;0.9699986;0.06075008;0.13027082;0;0;0.040499866;0;0.13707352;0.5395991;0.5899054;0.4784335;0.785393;0
f07d69a7-473b-4240-87aa-585cedc0661b;1;0.06075008;0.13029167;0;0;0.040499866;0;0.41119748;0.7324541;0.20766562;0.19379371;0.5841672;0
d6188cf4-b2d8-4ae5-b779-db493a19adb2;1;0.06075008;0.13029167;0;0;0.040499866;0;0.33563387;0.31795847;0.37210912;0.40838206;0.6792835;0
d0ab4e67-2608-4a61-a864-35b27fcb878f;1;0.030250017;0.13029167;0;0;0.020166643;0;0.19498181;0.5549048;0.37209994;0.22881639;0.83315545;0
b33d1bad-65cb-4fd7-a43a-ec258abf4a04;1;0.06075008;0.13029167;0;0;0.040499866;0;0.22076416;0.14396226;0.61524487;0.8429398;0.50483966;0
5eea4dae-e866-4dea-9405-dcb0ed1e1eed;1;0.06075008;0.13029167;0;0;0.040499866;0;0.46897328;0.6580102;0.4365601;0.7900023;0.34676862;0
91499d73-9648-4073-933d-d3a46d8e488d;1;0.06075008;0.13029167;0;0;0.040499866;0;0.3605165;0.65273225;0.42314166;0.21555138;0.123594105;0
b8b6f99f-b03f-4906-b87b-d3f036ea83e3;1;0.06075008;0.13029167;0;0;0.040499866;0;0.47029334;0.70950437;0.5833699;0.44478476;0.9815233;0
2690834f-2b6f-40fb-81ab-9646e6c51542;1;0.06075008;0.1303125;0;0;0.040499866;0;0.6035349;0.6355657;0.14341152;0.27441412;0.61197066;0
bdec9e19-d6ac-44e3-907b-5adcf64f9bdb;1;0.06075008;0.1303125;0;0;0.040499866;0;0.0069772005;0.030078769;0.13665956;0.5705783;0.2886806;0
1228ab1d-929e-4f8a-bf83-6b2660326ff4;1;0.06075008;0.1303125;0;0;0.040499866;0;0.10768759;0.9727579;0.6476442;0.32037872;0.8415936;1
9030693c-28be-413e-b7f7-468ef61b5f5c;0.9759996;0.06075008;0.1303125;0;0;0.040499866;0;0.7375082;0.45943803;0.6269352;0.6703806;0.8039099;0
5e42bb44-e0cf-46c2-aab9-80c1f15bef1f;1;0.06075008;0.1303125;0;0;0.040499866;0;0.6766488;0.52762824;0.49565965;0.89464885;0.298272;0
36657ae4-a79c-4785-8068-c8b576e56b67;1;0.06075008;0.1303125;0;0;0.040499866;0;0.43924809;0.80164486;0.7898478;0.7565798;0.82103807;0
aa19fb1b-0e61-48c1-9d47-495c38a10073;1;0.06075008;0.1303125;0;0;0.040499866;0;0.03356856;0.014978945;0.09081805;0.22123712;0.5098323;0
ad2fb843-b48c-443a-8fe1-b9ba0795eaed;1;0.07574991;0.15095833;0;0;0.05049981;0;0.8745844;0.7995373;0.31456918;0.42624462;0.3229459;0
9ff4a26c-6a55-48e7-91ed-121021029290;1;0.07574991;0.15095833;0;0;0.05049981;0;0.5656102;0.4359529;0.25829977;0.35413563;0.8189367;0
d1d6916d-f9a7-474b-9e59-d5ed9335c81c;0.9699986;0.07574991;0.15095833;0;0;0.05049981;0;0.72582406;0.34190226;0.743959;0.81314135;0.11945814;3
18fa96a2-c8c7-4c58-b299-456ea1ca288a;1;0.07574991;0.15095833;0;0;0.05049981;0;0.25604856;0.86824584;0.60016775;0.050480187;0.794773;0
fec85873-62e5-42b5-85a1-a67e8b435fd7;0.9759996;0.07574991;0.15097918;0;0;0.05049981;0;0.11033696;0.2796734;0.8053836;0.31840116;0.56603026;0
76050942-6cae-4576-865c-3ba5fc375ecf;1;0.07574991;0.15097918;0;0;0.05049981;0;0.02995044;0.032898724;0.6709724;0.70474726;0.9663294;0
5f4d6350-51e7-496f-bb41-050cf5584ddf;1;0.07574991;0.15097918;0;0;0.05049981;0;0.9975651;0.5635224;0.27088833;0.30298495;0.198012;0
25461991-2283-4e7b-8775-f91f787285f5;1;0.07574991;0.15097918;0;0;0.05049981;0;0.37153345;0.7774057;0.7768664;0.70660317;0.3047614;2
3eae14c9-21cb-4ecf-b638-ad5b5e496797;1;0.07574991;0.15097918;0;0;0.05049981;0;0.9097316;0.94285506;0.7214059;0.96109766;0.40711093;0
d9ca5798-5496-48ec-8c15-6335b7f357e8;1;0.07574991;0.15097918;0;0;0.05049981;0;0.3424458;0.9792281;0.64674795;0.25145167;0.10381806;0
3b304759-4900-411c-b2cc-23b585ae035b;1;0.07574991;0.15100001;0;0;0.05049981;0;0.478383;0.91622037;0.48002648;0.49298054;0.19104135;0
10115958-2aa5-4e94-b06c-79dfd330400d;1;0.07574991;0.15100001;0;0;0.05049981;0;0.59511447;0.37509263;0.16858959;0.27126408;0.5742145;0
9b585871-dfee-4495-87d0-5dc6e9111de4;1;0.07574991;0.15100001;0;0;0.05049981;0;0.05037129;0.8757434;0.65395916;0.7381469;0.92210263;0
2022b14a-7000-4a21-8031-58ed223e1434;1;0.07574991;0.15100001;0;0;0.05049981;0;0.3032754;0.15522724;0.46087843;0.42086613;0.9324494;0
7fcdf536-36c2-4447-a25e-73a9b4d4cd9b;1;0.07574991;0.15100001;0;0;0.05049981;0;0.96076214;0.28878897;0.25142044;0.04303509;0.9552349;0
5f364f43-dc4b-4242-9089-c6c4a86ef1f6;1;0.07574991;0.15100001;0;0;0.05049981;0;0.5733495;0.58585656;0.9249288;0.09829664;0.18488395;0
57246c9b-fa74-41e2-a9bd-49fefab48884;1;0.07574991;0.15102084;0;0;0.05049981;0;0.5996958;0.91893137;0.18485123;0.81884634;0.8016309;0
3633f2f9-e696-44db-964a-934490f8b203;1;0.07574991;0.15102084;0;0;0.05049981;0;0.2542796;0.096292675;0.6297966;0.3644184;0.54291;0
bef8a89d-4236-4819-8150-ce12fdc27486;1;0.07574991;0.15102084;0;0;0.05049981;0;0.39346862;0.42370284;0.6402125;0.4943077;0.35280114;0
b01ecb24-e9e4-43a2-9349-deb6a7a65ad0;1;0.07574991;0.15102084;0;0;0.05049981;0;0.26849377;0.15514803;0.7896458;0.45389354;0.37685192;0
dae284fd-f820-43a8-a792-193c6289fcb4;1;0.030000016;0.15102084;0;0;0.019999977;0;0.06166154;0.273147;0.2250706;0.54492176;0.9204381;0
62a269b6-7228-4bf7-ad66-ec07c1e421a4;1;0.07574991;0.15102084;0;0;0.05049981;0;0.4634621;0.46488315;0.5418963;0.37400877;0.007896066;0
3d13b50c-9340-445a-8ddc-9c2209507c96;0.9759996;0.07574991;0.15102084;0;0;0.05049981;0;0.2169137;0.83491075;0.5920351;0.15407056;0.68735623;0
f37695c9-cc01-43d6-ab5b-f6fdb714c11c;1;0.07574991;0.15104167;0;0;0.05049981;0;0.5952701;0.31117076;0.90789956;0.45233417;0.67193896;0
ca611dbd-30ba-4926-b464-6538fe02f369;1;0.07574991;0.15104167;0;0;0.05049981;0;0.2127214;0.3196171;0.19834799;0.8624638;0.74206537;0
5b3c8e1b-6a2e-4547-aac8-b7b0d95e45ed;0.9699986;0.07574991;0.15104167;0;0;0.05049981;0;0.49102718;0.7601754;0.28152317;0.5507615;0.51012754;0
ff427b23-1944-489b-850d-0710844408cd;0.9900007;0;0.15104167;0;0;0;0;0.863825;0.5647783;0.542675;0.091318846;0.9327129;0
51610c17-8c6d-48c0-bdad-0818e3802ba1;1;0.07574991;0.15104167;0;0;0.05049981;0;0.6950416;0.18084317;0.3277142;0.950316;0.620641;0
bbb24734-3468-4824-ac12-197f4376ca02;1;0.07574991;0.15104167;0;0;0.05049981;0;0.9677926;0.08000845;0.7869591;0.671195;0.09966433;0
998124a6-eafb-40b9-88c7-936e1810100b;1;0.07574991;0.1510625;0;0;0.05049981;0;0.59714603;0.5389263;0.270324;0.7404963;0.9546714;0
ac3bb665-1368-408e-a585-ef720d12fc85;1;0.07574991;0.1510625;0;0;0.05049981;0;0.8112554;0.86837274;0.4821338;0.17641944;0.06296176;0
24c6e598-7029-4989-a33a-07d63975e756;1;0.07574991;0.1510625;0;0;0.05049981;0;0.07545233;0.4044844;0.3225022;0.18718392;0.24589354;0
f71647a0-c378-4563-8062-a1b46178bd7c;1;0.07574991;0.1510625;0;0;0.05049981;0;0.15955031;0.67806286;0.9747072;0.23281932;0.7742358;0
cf6f9b10-df61-47e0-8551-4871d84f86d7;1;0.07574991;0.1510625;0;0;0.05049981;0;0.1561318;0.8407284;0.58921266;0.7791212;0.461334;0
bba5ea3d-4141-43b7-beb1-c42b2bdbb8c7;1;0.07574991;0.1510625;0;0;0.05049981;0;0.6038108;0.01963085;0.19462335;0.6546984;0.52006775;0
4675eba8-cc12-4d28-bfc3-ff9ff2a20121;1;0.07574991;0.1510625;0;0;0.05049981;0;0.13707352;0.5395991;0.5899054;0.4784335;0.785393;0
f07d69a7-473b-4240-87aa-585cedc0661b;1;0.07574991;0.15108334;0;0;0.05049981;0;0.41119748;0.7324541;0.20766562;0.19379371;0.5841672;3
d6188cf4-b2d8-4ae5-b779-db493a19adb2;1;0.07574991;0.15108334;0;0;0.05049981;0;0.33563387;0.31795847;0.37210912;0.40838206;0.6792835;0
d0ab4e67-2608-4a61-a864-35b27fcb878f;1;0.045250047;0.15108334;0;0;0.030166589;0;0.19498181;0.5549048;0.37209994;0.22881639;0.83315545;0
b33d1bad-65cb-4fd7-a43a-ec258abf4a04;1;0.07574991;0.15108334;0;0;0.05049981;0;0.22076416;0.14396226;0.61524487;0.8429398;0.50483966;0
5eea4dae-e866-4dea-9405-dcb0ed1e1eed;1;0.07574991;0.15108334;0;0;0.05049981;0;0.46897328;0.6580102;0.4365601;0.7900023;0.34676862;0
91499d73-9648-4073-933d-d3a46d8e488d;1;0.07574991;0.15108334;0;0;0.05049981;0;0.3605165;0.65273225;0.42314166;0.21555138;0.123594105;0
b8b6f99f-b03f-4906-b87b-d3f036ea83e3;1;0.07574991;0.15108334;0;0;0.05049981;0;0.47029334;0.70950437;0.5833699;0.44478476;0.9815233;0
2690834f-2b6f-40fb-81ab-9646e6c51542;1;0.07574991;0.15110417;0;0;0.05049981;0;0.6035349;0.6355657;0.14341152;0.27441412;0.61197066;0
bdec9e19-d6ac-44e3-907b-5adcf64f9bdb;1;0.07574991;0.15110417;0;0;0.05049981;0;0.0069772005;0.030078769;0.13665956;0.5705783;0.2886806;0
1228ab1d-929e-4f8a-bf83-6b2660326ff4;0.98000145;0.07574991;0.15110417;0;0;0.05049981;0;0.10768759;0.9727579;0.6476442;0.32037872;0.8415936;0
9030693c-28be-413e-b7f7-468ef61b5f5c;1;0.07574991;0.15110417;0;0;0.05049981;0;0.7375082;0.45943803;0.6269352;0.6703806;0.8039099;0
5e42bb44-e0cf-46c2-aab9-80c1f15bef1f;1;0.07574991;0.15110417;0;0;0.05049981;0;0.6766488;0.52762824;0.49565965;0.89464885;0.298272;0
36657ae4-a79c-4785-8068-c8b576e56b67;1;0.07574991;0.15110417;0;0;0.05049981;0;0.43924809;0.80164486;0.7898478;0.7565798;0.82103807;0
aa19fb1b-0e61-48c1-9d47-495c38a10073;1;0.07574991;0.151125;0;0;0.05049981;0;0.03356856;0.014978945;0.09081805;0.22123712;0.5098323;0
ad2fb843-b48c-443a-8fe1-b9ba0795eaed;1;0.090999715;0.17214583;0;0;0.060666423;0;0.8745844;0.7995373;0.31456918;0.42624462;0.3229459;0
9ff4a26c-6a55-48e7-91ed-121021029290;1;0.090999715;0.17214583;0;0;0.060666423;0;0.5656102;0.4359529;0.25829977;0.35413563;0.8189367;0
d1d6916d-f9a7-474b-9e59-d5ed9335c81c;0.9455982;0.090999715;0.17214583;0;0;0.060666423;0;0.72582406;0.34190226;0.743959;0.81314135;0.11945814;0
18fa96a2-c8c7-4c58-b299-456ea1ca288a;1;0.090999715;0.17216666;0;0;0.060666423;0;0.25604856;0.86824584;0.60016775;0.050480187;0.794773;0
fec85873-62e5-42b5-85a1-a67e8b435fd7;1;0.090999715;0.17216666;0;0;0.060666423;0;0.11033696;0.2796734;0.8053836;0.31840116;0.56603026;0
76050942-6cae-4576-865c-3ba5fc375ecf;1;0.090999715;0.17216666;0;0;0.060666423;0;0.02995044;0.032898724;0.6709724;0.70474726;0.9663294;0
5f4d6350-51e7-496f-bb41-050cf5584ddf;1;0.090999715;0.17216666;0;0;0.060666423;0;0.9975651;0.5635224;0.27088833;0.30298495;0.198012;0
25461991-2283-4e7b-8775-f91f787285f5;0.9898341;0.0096665425;0.17216666;0;0;0;0;0.37153345;0.7774057;0.7768664;0.70660317;0.3047614;0
3eae14c9-21cb-4ecf-b638-ad5b5e496797;1;0.090999715;0.17216666;0;0;0.060666423;0;0.9097316;0.94285506;0.7214059;0.96109766;0.40711093;4
d9ca5798-5496-48ec-8c15-6335b7f357e8;1;0.090999715;0.1721875;0;0;0.060666423;0;0.3424458;0.9792281;0.64674795;0.25145167;0.10381806;0
3b304759-4900-411c-b2cc-23b585ae035b;1;0.090999715;0.1721875;0;0;0.060666423;0;0.478383;0.91622037;0.48002648;0.49298054;0.19104135;0
10115958-2aa5-4e94-b06c-79dfd330400d;1;0.090999715;0.1721875;0;0;0.060666423;0;0.59511447;0.37509263;0.16858959;0.27126408;0.5742145;0
9b585871-dfee-4495-87d0-5dc6e9111de4;1;0.090999715;0.1721875;0;0;0.060666423;0;0.05037129;0.8757434;0.65395916;0.7381469;0.92210263;0
2022b14a-7000-4a21-8031-58ed223e1434;1;0.090999715;0.1721875;0;0;0.060666423;0;0.3032754;0.15522724;0.46087843;0.42086613;0.9324494;0
7fcdf536-36c2-4447-a25e-73a9b4d4cd9b;1;0.090999715;0.1721875;0;0;0.060666423;0;0.96076214;0.28878897;0.25142044;0.04303509;0.9552349;0
5f364f43-dc4b-4242-9089-c6c4a86ef1f6;1;0.090999715;0.17220832;0;0;0.060666423;0;0.5733495;0.58585656;0.9249288;0.09829664;0.18488395;0
57246c9b-fa74-41e2-a9bd-49fefab48884;1;0.090999715;0.17220832;0;0;0.060666423;0;0.5996958;0.91893137;0.18485123;0.81884634;0.8016309;0
3633f2f9-e696-44db-964a-934490f8b203;1;0.090999715;0.17220832;0;0;0.060666423;0;0.2542796;0.096292675;0.6297966;0.3644184;0.54291;0
bef8a89d-4236-4819-8150-ce12fdc27486;1;0.090999715;0.17220832;0;0;0.060666423;0;0.39346862;0.42370284;0.6402125;0.4943077;0.35280114;0
b01ecb24-e9e4-43a2-9349-deb6a7a65ad0;1;0.090999715;0.17220832;0;0;0.060666423;0;0.26849377;0.15514803;0.7896458;0.45389354;0.37685192;0
dae284fd-f820-43a8-a792-193c6289fcb4;1;0.045250047;0.17220832;0;0;0.030166589;0;0.06166154;0.273147;0.2250706;0.54492176;0.9204381;0
62a269b6-7228-4bf7-ad66-ec07c1e421a4;1;0.090999715;0.17220832;0;0;0.060666423;0;0.4634621;0.46488315;0.5418963;0.37400877;0.007896066;0
3d13b50c-9340-445a-8ddc-9c2209507c96;1;0.090999715;0.17220832;0;0;0.060666423;0;0.2169137;0.83491075;0.5920351;0.15407056;0.68735623;0
f37695c9-cc01-43d6-ab5b-f6fdb714c11c;1;0.090999715;0.17220832;0;0;0.060666423;0;0.5952701;0.31117076;0.90789956;0.45233417;0.67193896;0
ca611dbd-30ba-4926-b464-6538fe02f369;1;0.090999715;0.17222917;0;0;0.060666423;0;0.2127214;0.3196171;0.19834799;0.8624638;0.74206537;0
